timestamp,dx,dy,label
1726057460.5807948,-14,27,0
1726057460.657411,-14,28,0
1726057460.7340777,-19,32,0
1726057460.8117025,-26,44,0
1726057461.138761,65,42,1
1726057461.4683368,60,34,0
1726057461.545527,42,36,0
1726057461.652344,4,42,0
1726057462.23818,-23,44,0
1726057462.330255,-15,41,0
1726057462.419033,7,34,0
1726057462.5076227,19,30,0
1726057462.5922074,29,27,0
1726057462.6653314,39,26,0
1726057462.7627172,50,23,0
1726057462.837145,45,25,0
1726057462.9216516,26,29,0
1726057462.9918826,0,35,0
1726057463.0625155,-26,42,0
1726057463.5077062,13,43,0
1726057463.5868242,22,39,0
1726057463.671239,32,35,0
1726057463.7569544,40,31,0
1726057463.842332,43,27,0
1726057463.9275007,45,24,0
1726057464.0002573,40,20,0
1726057464.0729115,28,20,0
1726057464.1457465,8,24,0
1726057464.215691,-12,32,0
1726057464.301206,-33,43,0
1726057466.1154964,10,43,0
1726057466.187734,10,28,0
1726057466.2572303,12,17,0
1726057466.3282957,13,2,0
1726057466.3963158,13,-6,0
1726057466.4676452,13,-19,0
1726057466.7107198,10,-32,0
1726057466.7860055,6,-14,0
1726057467.617413,3,-7,0
1726057467.697608,5,-18,0
1726057467.7763956,8,-33,0
1726057467.850956,11,-41,0
1726057468.01934,22,-36,0
1726057468.094075,18,1,0
1726057468.1624763,13,42,1
1726057468.7796705,-5,30,0
1726057468.853872,-2,20,0
1726057468.9321356,1,4,0
1726057469.009803,6,-14,0
1726057469.0899315,10,-25,0
1726057469.169382,14,-34,0
1726057469.2346444,21,-44,0
1726057469.293569,26,-38,0
1726057469.3879938,27,-19,0
1726057469.4501572,24,12,0
1726057470.035043,-9,42,0
1726057470.1442585,0,17,0
1726057470.27792,9,-1,0
1726057470.3465352,14,-10,0
1726057470.3808997,21,-27,0
1726057470.411682,22,-28,0
1726057470.447306,19,-24,0
1726057470.5080228,17,-19,0
1726057470.5695882,12,1,0
1726057470.632295,10,12,0
1726057470.6964052,9,21,0
1726057470.759271,8,29,0
1726057470.8362384,7,43,0
1726057471.253082,-3,43,0
1726057471.4940228,-12,20,0
1726057471.5579505,-11,19,0
1726057471.619464,-10,18,0
1726057471.6821575,-9,17,0
1726057471.7477305,-8,18,0
1726057471.8359368,-7,19,0
1726057471.9227614,-4,25,0
1726057471.9918733,0,29,0
1726057472.0654397,7,33,0
1726057472.1398413,14,32,0
1726057472.2235715,21,28,0
1726057472.304124,25,27,0
1726057472.3991685,20,29,0
1726057472.4849904,10,31,0
1726057472.623212,-6,37,0
1726057473.3232946,-3,42,0
1726057473.4255488,-2,39,0
1726057473.520502,-3,37,0
1726057473.6130178,-7,35,0
1726057473.6895435,-12,35,0
1726057473.7457445,-16,33,0
1726057473.7824008,-24,24,0
1726057473.8262763,-21,24,0
1726057473.9365902,-10,27,0
1726057474.029622,-1,26,0
1726057474.1101882,3,30,0
1726057474.1980114,2,32,0
1726057474.295588,2,36,0
1726057474.5657222,-5,44,0
1726057474.6454053,-23,36,0
1726057474.7364469,-39,31,0
1726057474.8005626,-52,29,0
1726057474.864391,-50,27,0
1726057474.9256675,-46,21,0
1726057474.9925792,-18,17,0
1726057476.1749403,-14,30,0
1726057476.272785,6,35,0
1726057476.4175186,41,44,0
1726057477.2488966,-56,40,1
1726057477.3307545,-25,39,0
1726057477.4228852,-16,38,0
1726057477.5110712,-7,39,0
1726057477.5960605,6,38,0
1726057477.68439,15,39,0
1726057477.8071208,43,44,0
1726057479.1273406,36,44,0
1726057479.215538,23,43,0
1726057479.8976898,0,43,0
1726057480.0222063,0,39,0
1726057480.0899773,0,34,0
1726057480.1573954,1,28,0
1726057480.226085,3,24,0
1726057480.2967186,5,21,0
1726057480.368471,8,18,0
1726057480.4412117,7,12,0
1726057480.5129342,6,9,0
1726057480.5936005,1,7,0
1726057480.6723697,-4,7,0
1726057480.7577467,-12,4,0
1726057480.8522773,-17,3,0
1726057480.9406888,-19,3,0
1726057481.022797,-21,0,0
1726057481.109439,-19,6,0
1726057481.1854596,-18,19,0
1726057481.3013885,-15,35,0
1726057481.3835115,-7,50,0
1726057481.5144491,-3,44,0
1726057481.6017594,-2,33,0
1726057481.6974614,0,13,0
1726057481.7873423,-1,0,0
1726057481.8820684,-3,3,0
1726057481.9667945,-7,15,0
1726057482.0437376,-13,15,0
1726057482.136561,-13,-2,0
1726057482.2187068,-3,-19,0
1726057482.3033493,13,-21,0
1726057482.3839085,19,-1,0
1726057483.075687,-26,-6,0
1726057483.1563027,-26,-33,0
1726057483.5916247,1,-33,0
1726057483.70069,1,-10,0
1726057483.7916777,0,13,0
1726057484.3458662,-29,21,0
1726057484.427456,-23,-4,0
1726057484.5108614,-13,-29,0
1726057484.616861,-6,-41,0
1726057484.7976155,15,-30,0
1726057484.885861,16,-1,0
1726057484.9808557,14,38,0
1726057485.5880203,-31,32,0
1726057485.684077,-21,21,0
1726057485.7690618,-10,11,0
1726057485.8536675,-2,8,0
1726057485.9444575,4,11,0
1726057486.0443103,5,16,0
1726057486.1294866,16,32,0
1726057486.218576,21,36,0
1726057486.301292,8,40,0
1726057486.3966093,-7,41,0
1726057486.484619,-24,39,0
1726057486.5777855,-44,33,0
1726057486.6736667,-46,25,0
1726057486.781716,-47,20,0
1726057486.8662367,-32,24,0
1726057486.9581647,-4,34,0
1726057487.0464823,13,36,0
1726057487.1490798,39,39,0
1726057487.2521102,53,40,0
1726057487.3456855,63,35,0
1726057487.438383,52,26,0
1726057487.5264728,34,18,0
1726057487.6057656,20,7,0
1726057487.6896188,-2,-5,0
1726057487.7563643,-16,-9,0
1726057487.8230402,-24,-4,0
1726057487.890659,-19,15,0
1726057487.9539056,-8,36,0
1726057488.1403894,20,50,0
1726057488.214504,11,40,0
1726057488.2908745,9,38,0
1726057488.3656452,13,35,0
1726057488.4314678,17,31,0
1726057488.5085385,16,28,0
1726057488.5818973,17,19,0
1726057488.6450143,20,6,0
1726057488.732279,5,-4,0
1726057488.7968838,0,1,0
1726057488.898806,0,14,0
1726057488.9621534,3,17,0
1726057489.0242107,6,21,0
1726057489.086792,11,31,0
1726057489.1647584,26,33,0
1726057489.2350397,35,33,0
1726057489.3100753,48,31,0
1726057489.391186,52,33,0
1726057489.458968,49,37,0
1726057489.5345156,42,43,0
1726057489.6251235,40,47,0
